RDlevel,HTshots,ATshots,HTshotOnTarget,ATshotsOnTarget,possession,HTgoals,ATgoals,HDA
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
9to11,11to14,7to10,7to9,2to3,47to56%,2,0,H
9to11,15to20,7to10,7to9,2to3,47to56%,2,0,H
9to11,15to20,7to10,7to9,2to3,47to56%,1,1,H
6to8,15to20,7to10,7to9,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,2,A
9to11,15to20,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,11to14,4to6,7to9,38to46%,0,2,A
12to14,7to10,11to14,4to6,7to9,38to46%,0,2,A
9to11,15to20,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,11to14,4to6,4to6,47to56%,1,2,A
12to14,11to14,11to14,4to6,4to6,47to56%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,15to20,7to10,7to9,2to3,47to56%,1,1,H
9to11,11to14,7to10,7to9,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
6to8,15to20,7to10,7to9,2to3,57to65%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,2to3,47to56%,1,1,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,11to14,4to6,4to6,47to56%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,15to20,7to10,7to9,2to3,47to56%,2,1,H
12to14,11to14,7to10,7to9,4to6,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,7to9,2to3,47to56%,1,1,H
9to11,11to14,7to10,7to9,2to3,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,2to3,47to56%,2,1,H
12to14,11to14,11to14,4to6,4to6,47to56%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
6to8,15to20,7to10,7to9,2to3,57to65%,3,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,D
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,11to14,4to6,7to9,38to46%,0,2,A
12to14,11to14,7to10,4to6,2to3,47to56%,2,1,H
12to14,15to20,7to10,7to9,4to6,47to56%,2,1,H
9to11,11to14,7to10,7to9,2to3,47to56%,1,1,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,15to20,7to10,7to9,2to3,47to56%,2,1,H
6to8,15to20,0to6,7to9,2to3,66%+,3,0,H
12to14,7to10,15to20,2to3,7to9,38to46%,0,2,A
12to14,11to14,11to14,2to3,4to6,47to56%,0,2,A
6to8,15to20,0to6,7to9,2to3,66%+,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,15to20,7to10,7to9,4to6,47to56%,2,1,H
12to14,7to10,11to14,2to3,7to9,47to56%,0,2,A
12to14,11to14,15to20,4to6,4to6,47to56%,0,1,A
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,11to14,4to6,4to6,47to56%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
9to11,11to14,7to10,4to6,4to6,47to56%,1,1,H
9to11,11to14,7to10,7to9,2to3,47to56%,1,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,15to20,7to10,4to6,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,2,A
6to8,15to20,7to10,7to9,2to3,66%+,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
6to8,15to20,7to10,7to9,2to3,57to65%,3,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,0,2,A
9to11,11to14,7to10,7to9,2to3,47to56%,1,1,H
12to14,11to14,7to10,7to9,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
12to14,11to14,15to20,4to6,4to6,47to56%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,11to14,4to6,4to6,47to56%,0,2,A
12to14,11to14,11to14,4to6,4to6,38to46%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,7to9,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,2to3,47to56%,1,1,H
9to11,15to20,7to10,4to6,4to6,47to56%,1,0,H
9to11,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,11to14,4to6,7to9,47to56%,0,2,A
12to14,11to14,7to10,4to6,2to3,47to56%,2,1,H
12to14,11to14,7to10,7to9,4to6,47to56%,1,1,H
12to14,11to14,11to14,4to6,7to9,38to46%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,11to14,4to6,7to9,38to46%,0,2,A
12to14,7to10,11to14,4to6,4to6,38to46%,0,2,A
9to11,15to20,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,7to10,7to9,4to6,47to56%,1,1,H
12to14,15to20,7to10,7to9,4to6,47to56%,2,1,H
9to11,11to14,7to10,4to6,4to6,47to56%,1,0,H
12to14,11to14,7to10,7to9,4to6,47to56%,2,1,H
6to8,15to20,7to10,7to9,2to3,57to65%,2,0,H
12to14,11to14,11to14,4to6,4to6,47to56%,0,2,A
12to14,11to14,11to14,4to6,4to6,38to46%,0,2,A
12to14,11to14,11to14,4to6,4to6,47to56%,1,1,A
6to8,15to20,7to10,7to9,2to3,57to65%,3,0,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
9to11,11to14,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
9to11,11to14,15to20,4to6,7to9,47to56%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,7to9,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,0,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
9to11,11to14,7to10,7to9,2to3,47to56%,1,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,2to3,47to56%,1,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,11to14,4to6,7to9,38to46%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,0,2,A
12to14,11to14,7to10,7to9,4to6,47to56%,1,1,H
12to14,15to20,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,11to14,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,11to14,4to6,7to9,38to46%,0,2,A
9to11,15to20,7to10,7to9,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,7to9,38to46%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
9to11,15to20,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,15to20,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,11to14,4to6,4to6,47to56%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
6to8,15to20,7to10,7to9,2to3,66%+,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
9to11,15to20,7to10,7to9,4to6,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,11to14,4to6,7to9,38to46%,1,2,A
9to11,15to20,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,15to20,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,11to14,4to6,4to6,47to56%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
9to11,15to20,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,11to14,4to6,4to6,47to56%,0,1,A
12to14,7to10,11to14,4to6,4to6,47to56%,0,2,A
12to14,15to20,7to10,4to6,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
12to14,11to14,11to14,4to6,4to6,47to56%,1,1,H
9to11,11to14,7to10,7to9,4to6,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
6to8,15to20,7to10,7to9,2to3,57to65%,3,0,H
12to14,7to10,11to14,4to6,7to9,47to56%,0,2,A
12to14,7to10,11to14,4to6,7to9,38to46%,0,2,A
9to11,15to20,7to10,7to9,2to3,57to65%,2,1,H
9to11,11to14,7to10,7to9,4to6,47to56%,2,1,H
12to14,15to20,7to10,4to6,4to6,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,15to20,2to3,7to9,38to46%,0,2,A
12to14,11to14,11to14,2to3,4to6,47to56%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,15to20,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,11to14,4to6,7to9,47to56%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,15to20,4to6,7to9,38to46%,0,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
6to8,11to14,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,11to14,4to6,4to6,47to56%,1,2,A
9to11,11to14,7to10,7to9,4to6,47to56%,2,0,H
12to14,7to10,11to14,2to3,4to6,47to56%,0,2,A
9to11,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,11to14,4to6,4to6,47to56%,0,2,A
6to8,15to20,7to10,4to6,4to6,57to65%,2,1,H
12to14,15to20,7to10,4to6,2to3,47to56%,2,1,H
12to14,11to14,11to14,4to6,4to6,47to56%,0,2,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
12to14,7to10,7to10,4to6,7to9,38to46%,0,2,A
9to11,11to14,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,11to14,4to6,4to6,47to56%,1,2,A
12to14,11to14,11to14,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
9to11,11to14,7to10,7to9,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,2,A
9to11,15to20,7to10,7to9,2to3,47to56%,3,0,H
6to8,15to20,7to10,7to9,2to3,66%+,2,0,H
9to11,15to20,7to10,7to9,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
9to11,15to20,7to10,4to6,2to3,47to56%,2,1,H
12to14,11to14,7to10,7to9,2to3,47to56%,1,1,H
12to14,11to14,11to14,2to3,4to6,47to56%,0,2,A
12to14,11to14,11to14,4to6,4to6,47to56%,1,2,A
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
12to14,15to20,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,7to10,7to9,4to6,47to56%,1,1,H
9to11,15to20,7to10,4to6,4to6,47to56%,2,1,H
12to14,7to10,7to10,4to6,7to9,38to46%,0,2,A
12to14,7to10,11to14,4to6,7to9,38to46%,0,2,A
9to11,11to14,7to10,7to9,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,2,A
12to14,11to14,11to14,4to6,4to6,38to46%,0,2,A
6to8,15to20,7to10,7to9,2to3,57to65%,2,0,H
12to14,11to14,7to10,7to9,4to6,47to56%,1,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
9to11,15to20,7to10,7to9,4to6,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
9to11,15to20,7to10,7to9,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,0,H
12to14,11to14,11to14,4to6,4to6,47to56%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,D
12to14,7to10,11to14,4to6,4to6,47to56%,0,2,A
6to8,15to20,7to10,7to9,2to3,66%+,2,0,H
6to8,15to20,7to10,7to9,2to3,57to65%,3,0,H
9to11,11to14,11to14,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,15to20,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,7to10,4to6,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,15to20,7to10,7to9,2to3,57to65%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,15to20,7to10,4to6,2to3,47to56%,1,1,H
12to14,11to14,11to14,4to6,4to6,47to56%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
9to11,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
9to11,15to20,7to10,7to9,2to3,47to56%,2,0,H
12to14,7to10,15to20,4to6,4to6,38to46%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,0,H
12to14,7to10,11to14,4to6,7to9,47to56%,1,2,A
6to8,15to20,7to10,7to9,2to3,57to65%,2,0,H
9to11,15to20,7to10,7to9,2to3,57to65%,2,0,H
12to14,7to10,11to14,4to6,4to6,47to56%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,7to10,4to6,2to3,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,4to6,4to6,57to65%,0,1,H
12to14,11to14,7to10,7to9,2to3,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,15to20,7to10,7to9,2to3,47to56%,2,1,H
12to14,15to20,7to10,7to9,2to3,47to56%,2,0,H
12to14,15to20,7to10,4to6,2to3,47to56%,2,1,H
9to11,11to14,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
6to8,15to20,0to6,7to9,2to3,57to65%,3,0,H
12to14,11to14,11to14,2to3,4to6,47to56%,0,2,A
9to11,15to20,7to10,7to9,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
9to11,15to20,7to10,7to9,2to3,57to65%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,7to10,4to6,4to6,38to46%,0,2,A
12to14,7to10,11to14,4to6,7to9,47to56%,0,2,A
9to11,15to20,7to10,7to9,2to3,66%+,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,11to14,4to6,4to6,47to56%,1,2,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
6to8,15to20,7to10,7to9,2to3,57to65%,2,0,H
9to11,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,11to14,4to6,7to9,38to46%,1,1,A
9to11,15to20,7to10,7to9,2to3,66%+,2,0,H
6to8,15to20,7to10,7to9,2to3,57to65%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,0,H
12to14,7to10,11to14,4to6,7to9,38to46%,0,2,A
12to14,11to14,11to14,4to6,4to6,47to56%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,D
12to14,7to10,11to14,4to6,4to6,47to56%,0,2,A
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,2,A
9to11,11to14,7to10,7to9,2to3,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,11to14,4to6,4to6,38to46%,0,2,A
9to11,11to14,7to10,7to9,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,7to9,2to3,47to56%,2,1,H
6to8,11to14,7to10,4to6,2to3,47to56%,2,1,H
9to11,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
9to11,15to20,7to10,4to6,2to3,47to56%,2,1,H
12to14,15to20,7to10,4to6,2to3,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,15to20,7to10,7to9,2to3,57to65%,2,1,H
6to8,15to20,0to6,7to9,2to3,66%+,3,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,0,2,A
12to14,11to14,11to14,2to3,4to6,38to46%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,11to14,4to6,4to6,47to56%,0,2,A
12to14,11to14,11to14,4to6,4to6,47to56%,1,2,A
12to14,15to20,7to10,7to9,2to3,47to56%,2,1,H
12to14,7to10,11to14,2to3,7to9,38to46%,0,2,A
6to8,15to20,7to10,7to9,2to3,66%+,3,0,H
12to14,11to14,7to10,7to9,4to6,47to56%,1,1,H
12to14,7to10,11to14,4to6,7to9,38to46%,0,2,A
9to11,15to20,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
9to11,15to20,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,7to10,4to6,2to3,47to56%,1,1,H
12to14,7to10,11to14,4to6,7to9,47to56%,0,2,A
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
9to11,15to20,7to10,7to9,2to3,47to56%,1,1,H
3to5,15to20,7to10,7to9,2to3,57to65%,2,0,H
12to14,15to20,7to10,4to6,2to3,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
6to8,15to20,7to10,7to9,2to3,66%+,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
6to8,15to20,7to10,7to9,2to3,66%+,2,0,H
6to8,15to20,7to10,7to9,2to3,66%+,3,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,15to20,7to10,7to9,2to3,47to56%,1,1,H
12to14,11to14,11to14,4to6,4to6,47to56%,0,2,A
9to11,11to14,7to10,7to9,4to6,47to56%,1,0,H
9to11,15to20,7to10,7to9,2to3,57to65%,2,0,H
6to8,15to20,7to10,7to9,2to3,66%+,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,11to14,4to6,4to6,47to56%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,2,H
12to14,11to14,7to10,4to6,2to3,47to56%,2,1,H
6to8,15to20,7to10,7to9,2to3,57to65%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,15to20,7to10,7to9,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,15to20,7to10,4to6,2to3,47to56%,2,1,H
9to11,15to20,7to10,7to9,2to3,47to56%,2,0,H
9to11,15to20,7to10,7to9,2to3,66%+,2,1,H
12to14,11to14,7to10,4to6,2to3,47to56%,1,0,H
9to11,11to14,7to10,7to9,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,0,2,A
9to11,11to14,7to10,4to6,4to6,47to56%,1,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
9to11,15to20,7to10,7to9,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,11to14,2to3,4to6,47to56%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,15to20,7to10,4to6,2to3,47to56%,2,1,H
9to11,15to20,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,11to14,2to3,4to6,47to56%,0,2,A
6to8,15to20,7to10,7to9,2to3,57to65%,1,0,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
12to14,11to14,11to14,4to6,4to6,47to56%,1,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,0,2,A
9to11,11to14,7to10,7to9,4to6,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,15to20,4to6,7to9,38to46%,0,2,A
12to14,11to14,11to14,4to6,4to6,47to56%,0,2,A
12to14,15to20,7to10,4to6,2to3,47to56%,2,1,H
12to14,15to20,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
12to14,7to10,11to14,4to6,4to6,47to56%,0,2,A
6to8,15to20,7to10,7to9,2to3,57to65%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,15to20,7to10,4to6,4to6,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,4to6,2to3,47to56%,2,1,H
12to14,15to20,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,7to10,11to14,4to6,4to6,38to46%,0,2,A
12to14,11to14,7to10,4to6,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,7to10,11to14,4to6,7to9,38to46%,1,2,A
12to14,11to14,7to10,7to9,4to6,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
9to11,11to14,7to10,7to9,2to3,47to56%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
9to11,11to14,7to10,7to9,2to3,47to56%,2,0,H
12to14,11to14,11to14,2to3,4to6,47to56%,0,2,A
12to14,7to10,11to14,4to6,7to9,38to46%,0,2,A
12to14,11to14,7to10,4to6,4to6,47to56%,2,1,H
6to8,15to20,7to10,7to9,2to3,66%+,2,0,H
6to8,15to20,7to10,7to9,2to3,57to65%,2,1,H
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,A
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,D
9to11,11to14,7to10,7to9,2to3,57to65%,1,0,H
12to14,11to14,7to10,7to9,4to6,47to56%,2,0,H
12to14,11to14,7to10,4to6,4to6,47to56%,0,1,D
12to14,11to14,7to10,4to6,4to6,47to56%,1,1,H
12to14,11to14,7to10,7to9,2to3,57to65%,2,1,H
9to11,11to14,7to10,7to9,2to3,47to56%,1,1,H
12to14,11to14,15to20,4to6,4to6,47to56%,0,2,A
